name, title, 
Stuart Russell,Artificial Intelligence: A Modern Approach,
Peter Norvig,Artificial Intelligence: A Modern Approach,
Jon Krohn,Deep Learning Illustrated: A Visual, Interactive Guide to Artificial Intelligence,
Grant Beyleveld,Deep Learning Illustrated: A Visual, Interactive Guide to Artificial Intelligence,
Aglaé Bassens,Deep Learning Illustrated: A Visual, Interactive Guide to Artificial Intelligence,
Kate Crawford,Atlas of AI: Power, Politics, and the Planetary Costs of Artificial Intelligence,
Aurélien Géron,Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems,
Ethem Alpaydin,Introduction to Machine Learning,
Katti Faceli,Inteligência Artificial - Uma Abordagem de Aprendizado de Máquina,
Ana Carolina Lorena,Inteligência Artificial - Uma Abordagem de Aprendizado de Máquina,
João Gama,Inteligência Artificial - Uma Abordagem de Aprendizado de Máquina,
Tiago Agostinho de Almeida,Inteligência Artificial - Uma Abordagem de Aprendizado de Máquina,
André C P L F de Carvalho,Inteligência Artificial - Uma Abordagem de Aprendizado de Máquina,
Norbert Wiener,Cybernetics: Second Edition: Or the Control and Communication in the Animal and the Machine,
Norbert Wiener,The Human Use of Human Beings: Cybernetics and Society,
Abraham Silberschatz,Database System Concepts,
Henry Korth,Database System Concepts,
S. Sudarshan,Database System Concepts,
Ramez Elmasri,Fundamentals of Database Systems,
Shamkant Navathe,Fundamentals of Database Systems,
Hector Garcia-Molina,Database Systems: The Complete Book,
Jeffrey D. Ullman,Database Systems: The Complete Book,
Jennifer Widom,Database Systems: The Complete Book,
Brian W. Kernighan,C Programming Language (ANSI),
Dennis Ritchie,C Programming Language (ANSI),
Cay Horstmann,Core Java, Volume I: Fundamentals,
Paul Deitel,Java How to Program, Early Objects,
Harvey Deitel,Java How to Program, Early Objects,
Paul Deitel,Intro to Python for Computer Science and Data Science: Learning to Program with Ai, Big Data and the Cloud,
Harvey Deitel,Intro to Python for Computer Science and Data Science: Learning to Program with Ai, Big Data and the Cloud,
Pedro Domingos,The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,
William Gibson,Neuromancer,
Erich Gamma,Design Patterns: Elements of Reusable Object-Oriented Software,
Richard Helm,Design Patterns: Elements of Reusable Object-Oriented Software,
Ralph Johnson Dr,Design Patterns: Elements of Reusable Object-Oriented Software,
John Vlissides,Design Patterns: Elements of Reusable Object-Oriented Software,
William Gibson,A Máquina Diferencial,
Bruce Sterling,A Máquina Diferencial,
William Gibson,Periféricos,
Neal Stephenson,Cryptonomicon,
Machado De Assis,Memórias Póstumas De Brás Cubas - Edição especial,
Candido Portinari (Ilustrador),Memórias Póstumas De Brás Cubas - Edição especial,
